Name,Phone,ExtId__c,SampleText__c,SourceField__c
Culture California,054987968,233,054987968,
Champion California,0877788741,234,0877788741,
Organic Ohana,0791010028,235,0791010028,
Fresh Force,0339138934,236,0339138934,
Farm Force,0121930409,237,0121930409,
Collusion California,0546058048,238,0546058048,
Blur Brain,0402323746,239,0402323746,
Babies Brain,0194921869,240,0194921869,
Fusion Force,0865330717,241,0865330717,
Cutman California,0206446026,242,0206446026,
Free Force,0106281396,243,0106281396,
Classic California,0204338354,244,0204338354,
Buff Brain,0749491254,245,0749491254,
Create California,0358201862,246,0358201862,
Bastion Brain,0827476366,247,0827476366,
Creators California,0383746924,248,0383746924,
Creativo California,0523783988,249,0523783988,
Brig Brain,086453613,250,086453613,
Complete California,0294287396,251,0294287396,
Comfort California,0372590268,252,0372590268,
Boho Brain,0327876911,253,0327876911,
Burnout Brain,0159823905,254,0159823905,
National Nerd,0303273173,255,0303273173,
Chief California,0213490091,256,0213490091,
Brazen Brain,0263045214,257,0263045214,
Blush Brain,0242931318,258,0242931318,
Backyard Brain,054242534,259,054242534,
Cove California,0883227702,260,0883227702,
Carrier California,0374320469,261,0374320469,
Crazy California,093263064,262,093263064,
Capital California,0434787753,263,0434787753,
Focus Force,0842582301,264,0842582301,
Nibble Nerd,088330307,265,088330307,
Calm California,072158462,266,072158462,
Baker Brain,0209728102,267,0209728102,
Flax Force,0272315204,268,0272315204,
Catalyst California,0829902234,269,0829902234,
Flair Force,0463021143,270,0463021143,
Fission Force,0375696436,271,0375696436,
Fad Force,0715029525,272,0715029525,
Fluid Force,0796853961,273,0796853961,
Crumble California,0356382588,274,0356382588,
Bros Brain,0774011291,275,0774011291,
Corral California,0148201315,276,0148201315,
Day of the  Ohana,0706864960,277,0706864960,
Colossal California,0631067809,278,0631067809,
Oasis Ohana,0316012551,279,0316012551,
Cuddly California,0572369727,280,0572369727,
Fiscal Force,0342921268,281,0342921268,
Naked Nerd,0233468281,282,0233468281,
Naked Nerd,0764198525,283,0764198525,
Cloud California,0410289965,284,0410289965,
Forage Force,0114548696,285,0114548696,
Faithful Force,0832806039,286,0832806039,
First Force,0829787799,287,0829787799,
Castle California,0277794077,288,0277794077,
Classic California,020896980,289,020896980,
Farmer Force,0309276752,290,0309276752,
Brigade Brain,092738830,291,092738830,
Build Brain,0105171620,292,0105171620,
Beguiling Brain,0348710334,293,0348710334,
Commando California,0814088476,294,0814088476,
Chomp California,0223796311,295,0223796311,
Cyper California,0759072953,296,0759072953,
Naturally Nerd,0163317075,297,0163317075,
Creatives California,0525666720,298,0525666720,
Brilliant Brain,0389792374,299,0389792374,
Capital California,0239254590,300,0239254590,
Food Force,0753994062,301,0753994062,
Coco California,0214675429,302,0214675429,
Factory Force,0353216902,303,0353216902,
Flash Force,0301927756,304,0301927756,
Frost Force,0376409202,305,0376409202,
Comfort California,0522007226,306,0522007226,
Companions California,034980463,307,034980463,
Ori Ohana,0592037163,308,0592037163,
Fast Force,0448525262,309,0448525262,
Bonjour Brain,095329389,310,095329389,
Natural Nerd,0750488717,311,0750488717,
Bless Brain,0660286946,312,0660286946,
Consulting California,0553093106,313,0553093106,
Faith Force,0502031955,314,0502031955,
Flow Force,0290942237,315,0290942237,
Fawn Force,0856307577,316,0856307577,
Cozy California,0897240239,317,0897240239,
Bay Brain,0696479479,318,0696479479,
Food Force,0886083888,319,0886083888,
Form Force,0351353678,320,0351353678,
Feed Force,0844842214,321,0844842214,
Boo Brain,0899388686,322,0899388686,
Blur Brain,0512985750,323,0512985750,
Ora Ohana,0130529913,324,0130529913,
Capsule California,0438653648,325,0438653648,
Branch Brain,0663769376,326,0663769376,
Cause California,0827292907,327,0827292907,
Fair Force,0746245160,328,0746245160,
Form Force,0578460018,329,0578460018,
Flourish Force,0364638719,330,0364638719,
Bloom Brain,0830154614,331,0830154614,
Froglet Force,0738668736,332,0738668736,
Clutch California,0175703158,333,0175703158,
Crux California,0519933376,334,0519933376,
Fairy Force,0467576588,335,0467576588,
Core California,0478717664,336,0478717664,
Beans Brain,0833518035,337,0833518035,
Fairy Force,0257231001,338,0257231001,
Finesse Force,0162450352,339,0162450352,
Boulder Brain,0794695073,340,0794695073,
Bewitch Brain,0556859905,341,0556859905,
Bishop Brain,0532314011,342,0532314011,
Cent California,0673647222,343,0673647222,
Nourish Nerd,0187622492,344,0187622492,
Fleet Force,0783470949,345,0783470949,
Friendly Force,0886622140,346,0886622140,
Fable Force,0354385485,347,0354385485,
Blossom Brain,0226932683,348,0226932683,
Fisheye Force,0424254841,349,0424254841,
Flair Force,0716149886,350,0716149886,
Balaji Brain,0858123556,351,0858123556,
Bod Brain,0702217745,352,0702217745,
Nursery Nerd,0237720397,353,0237720397,
Origin Ohana,084129014,354,084129014,
Customs California,0734809314,355,0734809314,
Bobble Brain,0460175906,356,0460175906,
Buggy Brain,0216057723,357,0216057723,
Blaze Brain,0503811377,358,0503811377,
Cellar California,0338484183,359,0338484183,
Bright Brain,0318441430,360,0318441430,
Bigger Brain,0656093351,361,0656093351,
Fodder Force,0540377873,362,0540377873,
Climate California,0883382327,363,0883382327,
Fortune Force,088520702,364,088520702,
Bridal Brain,0152452254,365,0152452254,
Circuit California,0506458571,366,0506458571,
Cold California,073985409,367,073985409,
Bench Brain,0190485442,368,0190485442,
Ogre Ohana,0523917665,369,0523917665,
Cache California,0830002645,370,0830002645,
Blush Brain,0446877767,371,0446877767,
Capital California,0615944978,372,0615944978,
Boom Brain,03070169,373,03070169,
Crafty California,0660833783,374,0660833783,
Forage Force,0410001015,375,0410001015,
Native Nerd,0859978977,376,0859978977,
Flamingo Force,0106103151,377,0106103151,
Fireside Force,0547950286,378,0547950286,
Collab California,0515785302,379,0515785302,
Functional Force,034998015,380,034998015,
Frat Force,0539654106,381,0539654106,
Cloud California,0863475688,382,0863475688,
Boy Brain,0158639165,383,0158639165,
Check California,099908627,384,099908627,
Fulgent Force,0194556839,385,0194556839,
Blended Brain,0271139425,386,0271139425,
Freeze Force,0444408398,387,0444408398,
Burner Brain,0886495268,388,0886495268,
Cut California,0522611568,389,0522611568,
Crest California,0837263824,390,0837263824,
Foliage Force,039667992,391,039667992,
Circles California,081591691,392,081591691,
Crib California,0491785996,393,0491785996,
Cookie California,0360457057,394,0360457057,
Natty Nerd,0172090968,395,0172090968,
Classy California,0728398899,396,0728398899,
Check California,0567702074,397,0567702074,
Fans Force,0752558912,398,0752558912,
Butterfly Brain,0219640786,399,0219640786,
Captain California,0243217915,400,0243217915,
